data_entrada_brasil;data_cadastro;dif_dtcad_dtingr_meses;sexo;fx_etaria;pais_origem;distrito_moradia;regiao;condicoes_moradia;cidade_ingresso;cor_raca;escolaridade;situacao_migratoria;fonte_renda;sabendo_crai;demanda_1
09/09/2012;27/05/2016;44;Masculino;Maiores de 60 anos;Afeganistão;Liberdade;centro;Aluguel ou pensão;Não informado;Amarela;Ensino superior incompleto;Visto permanente;Não informado;Não informado;Documentos
16/06/2015;31/05/2017;23;Masculino;18 a 29 anos;Afeganistão;Brás;leste;Aluguel ou pensão;Foz do Iguaçu;Branca;Ensino superior incompleto;Solicitante de refúgio;Trabalhador informal ou ambulante;Serviço público;Regularização migratória
05/03/2010;19/03/2018;96;Masculino;18 a 29 anos;Afeganistão;Pari;leste;Aluguel ou pensão;Guarulhos;Branca;Ensino fundamental incompleto;Visto permanente;Empresário (MEI, dono de loja, restaurante, etc.);Instituições ou organizações;Regularização migratória
25/07/2012;27/11/2018;76;Masculino;18 a 29 anos;Afeganistão;Outro Município;Outro Município;Casa de parente ou amigo;Guarulhos;Branca;Ensino superior incompleto;Visto permanente;Trabalhador informal ou ambulante;Amigos ou parentes;Reinserção no mercado de trabalho
10/10/2008;10/01/2019;123;Masculino;40 a 49 anos;Afeganistão;Brás;leste;Casa de parente ou amigo;Guarulhos;Branca;Não frequentou escola;Visto permanente;Trabalhador informal ou ambulante;Amigos ou parentes;Regularização migratória
09/09/2012;22/07/2019;82;Masculino;Maiores de 60 anos;Afeganistão;Liberdade;centro;Aluguel ou pensão;Corumbá;Branca;Ensino superior completo;Refugiado;Trabalhador autônomo;Instituições ou organizações;Regularização migratória
19/08/2019;20/09/2019;1;Masculino;18 a 29 anos;Afeganistão;Brás;leste;Aluguel ou pensão;Guarulhos;Parda;Ensino superior completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
Não informado;10/12/2014;Não informado;Masculino;40 a 49 anos;África do Sul;Não informado;Não informado;Aluguel ou pensão;Não informado;Preta;Ensino fundamental completo;Indocumentado/ Irregular;Não informado;Não informado;Não informado
Não informado;11/12/2014;Não informado;Masculino;30 a 39 anos;África do Sul;Não informado;Não informado;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
Não informado;09/02/2015;Não informado;Masculino;50 a 59 anos;África do Sul;Não informado;Não informado;Centro de Acolhida;Não informado;Branca;Ensino médio completo;Indocumentado/ Irregular;Não informado;Não informado;Não informado
Não informado;26/03/2015;Não informado;Masculino;30 a 39 anos;África do SuL;Não informado;Não informado;Centro de Acolhida;Não informado;Branca;Ensino médio completo;Visto permanente;Não informado;Não informado;Não informado
03/02/2013;10/04/2015;26;Masculino;30 a 39 anos;África do Sul;República;centro;Hotel;Não informado;Não informado;Ensino médio completo;Indocumentado/ Irregular;Não informado;Não informado;Serviços de assistência social
22/08/2008;10/06/2015;81;Masculino;40 a 49 anos;África do Sul;Liberdade;centro;Aluguel ou pensão;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Serviços de assistência social
04/02/2015;03/07/2015;4;Masculino;30 a 39 anos;África do Sul;Bela Vista;centro;Centro de Acolhida;Não informado;Preta;Ensino superior completo;Refugiado;Não informado;Não informado;Reinserção no mercado de trabalho
02/12/2011;03/08/2015;44;Masculino;40 a 49 anos;África do Sul;Cambuci;centro;Centro de Acolhida;Não informado;Branca;Ensino médio completo;Indocumentado/ Irregular;Não informado;Não informado;Regularização migratória
15/06/2015;25/08/2015;2;Masculino;50 a 59 anos;África do Sul;Bela Vista;centro;Sem moradia;Não informado;Branca;Ensino médio completo;Indocumentado/ Irregular;Não informado;Não informado;Vaga em Centro de Acolhida
13/03/2015;31/08/2015;5;Masculino;50 a 59 anos;África do Sul;Bela Vista;centro;Centro de Acolhida;Não informado;Branca;Ensino médio completo;Indocumentado/ Irregular;Não informado;Não informado;Orientação jurídica
31/01/1992;22/09/2015;283;Feminino;50 a 59 anos;África do Sul;Liberdade;centro;Aluguel ou pensão;Não informado;Preta;Ensino superior incompleto;Visto permanente;Não informado;Não informado;Regularização migratória
15/06/2015;29/09/2015;3;Feminino;40 a 49 anos;África do Sul;Bela Vista;centro;Centro de Acolhida;Não informado;Preta;Ensino superior completo;Indocumentado/ Irregular;Não informado;Não informado;Documentos
15/07/2015;29/09/2015;2;Masculino;40 a 49 anos;África do Sul;Bela Vista;centro;Centro de Acolhida;Não informado;Preta;Ensino superior completo;Indocumentado/ Irregular;Não informado;Não informado;Documentos
24/09/2013;14/10/2015;24;Feminino;40 a 49 anos;África do Sul;Limão;norte;Aluguel ou pensão;Não informado;Preta;Ensino médio incompleto;Visto temporário;Não informado;Não informado;Reinserção no mercado de trabalho
20/05/2008;27/01/2016;92;Feminino;30 a 39 anos;África do Sul;Bela Vista;centro;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Visto permanente;Não informado;Não informado;Não informado
20/04/2013;24/11/2016;43;Masculino;40 a 49 anos;África do Sul;Outro Município;Outro Município;Em situação de rua;Guarulhos;Branca;Ensino médio incompleto;Outros;Desempregado;Instituições ou organizações;Vaga em Centro de Acolhida
01/01/2012;22/12/2016;59;Masculino;30 a 39 anos;África do Sul;Bela Vista;centro;Em situação de rua;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Instituições ou organizações;Vaga em Centro de Acolhida
15/08/2016;13/01/2017;4;Feminino;30 a 39 anos;África do Sul;Outro Município;Outro Município;Em situação de rua;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Serviço público;Vaga em Centro de Acolhida
01/04/2016;17/01/2017;9;Feminino;30 a 39 anos;África do Sul;Bela Vista;centro;Em situação de rua;Guarulhos;Preta;Ensino médio incompleto;Outros;Desempregado;Serviço público;Vaga em Centro de Acolhida
20/08/2005;24/01/2017;137;Feminino;50 a 59 anos;África do Sul;Guaianases;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Outros;Desempregado;Amigos ou parentes;Regularização migratória
01/03/2017;24/03/2017;0;Feminino;18 a 29 anos;África do Sul;Butantã;oeste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
24/01/2017;16/05/2017;3;Masculino;30 a 39 anos;África do Sul;Jardim Paulista;oeste;Em situação de rua;Guarulhos;Branca;Ensino médio incompleto;Outros;Desempregado;Serviço público;Vaga em Centro de Acolhida
07/04/2014;26/05/2017;37;Feminino;40 a 49 anos;África do Sul;Anhanguera;norte;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Visto temporário;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
28/05/2017;12/06/2017;0;Masculino;40 a 49 anos;África do Sul;Santana;norte;Em situação de rua;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
12/10/2012;19/07/2017;57;Masculino;40 a 49 anos;África do Sul;Bela Vista;centro;Aluguel ou pensão;Guarulhos;Branca;Ensino superior completo;Indocumentado/ Irregular;Desempregado;Amigos ou parentes;Regularização migratória
30/04/2014;24/07/2017;38;Masculino;50 a 59 anos;África do Sul;Tatuapé;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Trabalhador autônomo;Amigos ou parentes;Regularização migratória
